Date,AAPL,AMZN,BRK-B,GOOGL,JNJ,JPM,META,MSFT,NVDA,V
2000-01-03,0.8377241492271423,4.46875,35.29999923706055,2.488940954208374,23.14908218383789,22.691614151000977,37.89720153808594,35.443607330322266,0.08930627256631851,12.416168212890625
2000-01-04,0.7670955657958984,4.096875190734863,34.08000183105469,2.488940954208374,22.30158233642578,22.193737030029297,37.89720153808594,34.24632263183594,0.08692171424627304,12.416168212890625
2000-01-05,0.7783206105232239,3.487499952316284,34.63999938964844,2.488940954208374,22.537012100219727,22.05673599243164,37.89720153808594,34.60740280151367,0.08406013250350952,12.416168212890625
2000-01-06,0.7109659910202026,3.278125047683716,36.08000183105469,2.488940954208374,23.24324607849121,22.369874954223633,37.89720153808594,33.44812774658203,0.07857497781515121,12.416168212890625
2000-01-07,0.7446438074111938,3.4781250953674316,36.400001525878906,2.488940954208374,24.23199462890625,22.780866622924805,37.89720153808594,33.88523864746094,0.07988718897104263,12.416168212890625
2000-01-10,0.7315471768379211,3.4593749046325684,36.2599983215332,2.488940954208374,23.619909286499023,22.389453887939453,37.89720153808594,34.13228988647461,0.08250981569290161,12.416168212890625
2000-01-11,0.69412761926651,3.3375000953674316,35.58000183105469,2.488940954208374,23.698387145996094,21.861019134521484,37.89720153808594,33.258079528808594,0.07917110621929169,12.416168212890625
2000-01-12,0.6524989008903503,3.1781249046325684,34.900001525878906,2.488940954208374,23.478666305541992,21.99802017211914,37.89720153808594,32.1748161315918,0.07714463025331497,12.416168212890625
2000-01-13,0.7240628600120544,3.296875,35.20000076293945,2.488940954208374,23.447280883789062,22.330738067626953,37.89720153808594,32.782958984375,0.08036339282989502,12.416168212890625
2000-01-14,0.7516594529151917,3.2125000953674316,34.02000045776367,2.488940954208374,23.525739669799805,23.133159637451172,37.89720153808594,34.13228988647461,0.0838211178779602,12.416168212890625
2000-01-18,0.7778531312942505,3.206249952316284,34.0,2.488940954208374,22.92936134338379,22.232881546020508,37.89720153808594,35.06351852416992,0.08739881217479706,12.416168212890625
2000-01-19,0.7974985241889954,3.340625047683716,34.18000030517578,2.488940954208374,23.007827758789062,23.211435317993164,37.89720153808594,32.53592300415039,0.08656370639801025,12.416168212890625
2000-01-20,0.8494178056716919,3.237499952316284,34.0,2.488940954208374,23.0863094329834,23.191858291625977,37.89720153808594,32.231842041015625,0.08632561564445496,12.416168212890625
2000-01-21,0.8330471515655518,3.1031250953674316,34.220001220703125,2.488940954208374,22.568397521972656,22.83957290649414,37.89720153808594,31.547677993774414,0.08537144213914871,12.416168212890625
2000-01-24,0.7951599359512329,3.5062499046325684,34.0,2.488940954208374,21.0146484375,22.85915184020996,37.89720153808594,30.787479400634766,0.08155655860900879,12.416168212890625
2000-01-25,0.8400628566741943,3.4625000953674316,34.060001373291016,2.488940954208374,21.407020568847656,23.368005752563477,37.89720153808594,31.262590408325195,0.08084047585725784,12.416168212890625
2000-01-26,0.8246273994445801,3.2406249046325684,34.13999938964844,2.488940954208374,20.967578887939453,24.561847686767578,37.89720153808594,30.21734619140625,0.07750175148248672,12.416168212890625
2000-01-27,0.8232244253158569,3.346874952316284,33.91999816894531,2.488940954208374,20.214248657226562,25.26640510559082,37.89720153808594,30.027278900146484,0.07344786822795868,12.416168212890625
2000-01-28,0.760546863079071,3.0843749046325684,33.20000076293945,2.488940954208374,21.218685150146484,24.01386070251465,37.89720153808594,29.875282287597656,0.07130234688520432,12.416168212890625
2000-01-31,0.7764499187469482,3.2281250953674316,32.91999816894531,2.488940954208374,21.611040115356445,25.26640510559082,37.89720153808594,29.7612361907959,0.07070622593164444,12.416168212890625
2000-02-01,0.7502565979957581,3.371875047683716,33.5,2.488940954208374,21.297157287597656,26.225385665893555,37.89720153808594,31.300609588623047,0.0723746195435524,12.416168212890625
2000-02-02,0.7394981384277344,3.471874952316284,32.79999923706055,2.488940954208374,21.43840980529785,25.79483985900879,37.89720153808594,30.654447555541992,0.07440203428268433,12.416168212890625
2000-02-03,0.773175835609436,4.209374904632568,33.400001525878906,2.488940954208374,20.92048454284668,26.04926109313965,37.89720153808594,31.509645462036133,0.07559429854154587,12.416168212890625
2000-02-04,0.8082568645477295,3.9281249046325684,33.099998474121094,2.488940954208374,20.622297286987305,25.59912109375,37.89720153808594,32.40287399291992,0.07738272845745087,12.416168212890625
2000-02-07,0.8536274433135986,3.75,33.279998779296875,2.488940954208374,20.449661254882812,25.73611068725586,37.89720153808594,32.42188262939453,0.0726136639714241,12.416168212890625
2000-02-08,0.8597084283828735,4.15625,32.70000076293945,2.488940954208374,20.606605529785156,26.636404037475586,37.89720153808594,33.429115295410156,0.07607141137123108,12.416168212890625
2000-02-09,0.842868983745575,4.012499809265137,31.760000228881836,2.488940954208374,20.088693618774414,25.95140266418457,37.89720153808594,31.623687744140625,0.07797884196043015,12.416168212890625
2000-02-10,0.8494178056716919,3.809375047683716,30.959999084472656,2.488940954208374,19.58648109436035,26.029672622680664,37.89720153808594,32.231842041015625,0.09395626187324524,12.416168212890625
