Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
JAGU,Jaguar Uranium Corp. Class A Common Shares,$1.61,-0.02,-1.227%,32511981.00,Canada,2026,13380,Basic Materials,Metal Mining
JOB,GEE Group Inc. Common Stock,$0.2551,-0.0015,-0.585%,28028012.00,United States,1968,152309,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$1.65,-0.03,-1.786%,39101177.00,,2024,78981,Health Care,Biotechnology: Pharmaceutical Preparations
KNRX,KNOREX LTD. Class A Ordinary Shares,$0.394,0.0176,4.676%,11986707.00,,2025,57949,Technology,Computer Software: Programming Data Processing
KULR,KULR Technology Group Inc. Common Stock,$2.44,-0.08,-3.175%,112923986.00,United States,,554631,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.08,-0.02,-1.818%,273140061.00,United States,,902669,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGO,Legato Merger Corp. IV Ordinary Shares,$9.97,0.00,0.00%,302161149.00,,2026,2640,Industrials,Military/Government/Technical
LGCY,Legacy Education Inc. Common Stock,$10.81,-0.14,-1.279%,136768531.00,,2024,25674,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$7.36,-0.08,-1.075%,92832777.00,United States,1946,15519,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$1.03,-0.11,-9.649%,24319196.00,,2025,897617,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$3.29,-0.02,-0.604%,250017125.00,United States,,1167498,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$3.12,0.09,2.97%,98647583.00,,2024,10644,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$3.95,-0.22,-5.276%,44211892.00,,2020,29920,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$4.28,0.025,0.588%,97113200.00,Hong Kong,2025,3093,Industrials,Steel/Iron Ore
LXFR,Luxfer Holdings PLC Ordinary Shares,$17.19,0.01,0.058%,459991353.00,United Kingdom,2012,403361,Basic Materials,Major Chemicals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.30,-0.01,-0.763%,79084468.00,,2022,321264,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis AI Robotics Ordinary Shares,$0.9453,-0.0427,-4.322%,32980049.00,,2025,368167,Consumer Discretionary,Auto Parts:O.E.M.
MGLD,The Marygold Companies Inc. Common Stock,$1.04,0.00,0.00%,44523660.00,,2022,2489,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.435,-0.005,-0.067%,89313540.00,United States,,6344,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$2.30,-0.18,-7.258%,1174677.00,,2023,40779,Finance,Finance: Consumer Services
MINE,Mayfair Gold Corp. Common Shares,$3.09,-0.10,-3.135%,207457953.00,,2026,180785,Energy,Oil & Gas Production
MITQ,Moving iMage Technologies Inc. Common Stock,$0.5824,-0.0375,-6.049%,5789680.00,United States,2021,21297,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.458,-0.0188,-3.943%,40642547.00,United States,2015,69310,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$0.4223,-0.0291,-6.447%,11183999.00,,2024,1143152,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$74.87,-1.29,-1.694%,325420658.00,United States,2022,81769,Technology,Industrial Machinery/Components
