Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VTAK,Catheter Precision Inc. Common Stock,$0.1983,-0.0054,-2.651%,3762157.00,,2018,490451,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.86,-0.19,-4.691%,1364646775.00,Canada,2024,6159538,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$2.36,-0.15,-5.976%,533774005.00,Canada,2011,1127201,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.5841,-0.0016,-0.273%,75094719.00,United States,,682599,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$10.23,0.05,0.491%,102282149.00,United States,,99986,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.766,-0.016,-2.046%,72528299.00,United States,,204026,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.368,-0.024,-6.122%,51625969.00,United States,,758236,Health Care,Medical/Dental Instruments
YCBD,cbdMD Inc. Common Stock,$0.4999,0.0099,2.02%,5601402.00,United States,2017,113484,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$3.00,-0.04,-1.316%,39205893.00,,2016,97228,Technology,Computer Software: Prepackaged Software
ZONE,Zone Frontier Inc. Class B Common Stock,$0.15,-0.0006,-0.398%,33939103.00,,2024,3575214,Consumer Discretionary,Specialty Chemicals
