date,ic,rmse
2015-01-08,-0.1703958691910499,0.016564396303439213
2015-01-09,-0.10596052374438147,0.02167063571282326
2015-01-12,0.23764300901083327,0.013648164794175863
2015-01-13,-0.21299989875468262,0.023047309816680305
2015-01-14,-0.016715686522875535,0.024687747536216498
2015-01-15,-0.2768355652575458,0.026019918087662332
2015-01-16,0.03721770551038844,0.024867696844654504
2015-01-20,-0.07674636661978435,0.02466994704486588
2015-01-21,0.20958743553680265,0.0204632680280242
2015-01-22,-0.05489920300046883,0.01588767075625571
2015-01-23,-0.14288617886178862,0.011024163619103374
2015-01-26,-0.3147223038495446,0.022518477145629164
2015-01-27,0.2916054461749437,0.021895459228400835
2015-01-28,0.07880845876731861,0.022498490680353544
2015-01-29,-0.277444271860963,0.03134764988162799
2015-01-30,-0.2324997468867065,0.02139298725922572
2015-02-02,-0.11238230231851776,0.024563819473941127
2015-02-03,0.21642199048294017,0.022205643075839495
2015-02-04,-0.17799491889779168,0.02035528594748998
2015-02-05,-0.20785616572210278,0.014391406186337706
2015-02-06,-0.11807699824115693,0.014496525658956308
2015-02-09,-0.048817666601524326,0.020075978787275815
2015-02-10,-0.0669029057406095,0.011993493461090961
2015-02-11,-0.20449482118428766,0.0195958292745059
2015-02-12,0.17084134858762784,0.017376210664051567
2015-02-13,-0.013727383401200619,0.011172716058406909
2015-02-17,0.15284832710633475,0.014571401857825263
2015-02-18,0.07774652617438393,0.012367996717167852
2015-02-19,0.018135258805255867,0.011113496118227133
2015-02-20,-0.049767012300071356,0.025458242259490966
2015-02-23,-0.1322572520045338,0.011552997932053275
2015-02-24,-0.02520884933462071,0.03488620853130014
2015-02-25,0.10429795061002818,0.013167243716798518
2015-02-26,-0.19887082204155374,0.0140745121172979
2015-02-27,0.12784552845528455,0.01828459285081002
2015-03-02,0.06540895813047712,0.015423195084821912
2015-03-03,0.06579934364744491,0.022870595635920723
2015-03-04,0.20513631937682572,0.014614581364432897
2015-03-05,-0.19695715676728337,0.01893481318285562
2015-03-06,-0.05316455696202532,0.017653839726247112
2015-03-09,0.12112950340798442,0.01945554758748103
2015-03-10,-0.01806231742940604,0.011523460328311322
2015-03-11,-0.31150961087669954,0.02803983030127042
2015-03-12,-0.100943338997732,0.011858322863246736
2015-03-13,-0.19791373652133146,0.020141379612212695
2015-03-16,0.06696025293586268,0.014332549694384668
2015-03-17,0.3471093044263776,0.031946535514443666
2015-03-18,0.08301716350496838,0.01670233356414018
2015-03-19,0.024819331526648596,0.019001558990588086
2015-03-20,0.00887016902297537,0.011655315330492983
2015-03-23,-0.07724121417921007,0.013642071358008722
2015-03-24,0.3268466821214397,0.0234858500661409
2015-03-25,-0.07197380307136404,0.011205760055687176
2015-03-26,0.1766260162601626,0.02549291305194533
2015-03-27,-0.14294421003281763,0.017770295802805425
