date,ic,rmse
2015-01-08,0.04009314569201174,0.011204336167305444
2015-01-09,0.042270861833105335,0.00868433854792896
2015-01-12,0.032580743140629746,0.008937079815259076
2015-01-13,-0.07603523337045662,0.010597869247764959
2015-01-14,-0.09577807026425028,0.012390301393000616
2015-01-15,-0.006947651232106125,0.012950088934334364
2015-01-16,0.02621951219512195,0.011798465701898712
2015-01-20,-0.10740740740740742,0.009820734704117111
2015-01-21,0.08645100796999533,0.008532426234464407
2015-01-22,0.04015471167369902,0.00888508536870181
2015-01-23,-0.10492321589882564,0.010758798970522213
2015-01-26,-0.16772782185653182,0.009995805428912914
2015-01-27,-0.26533233203817985,0.010174256513977553
2015-01-28,-0.16738934056007226,0.010425256375569342
2015-01-29,-0.15064050238895962,0.011744967290721829
2015-01-30,-0.07617228495864992,0.010307085407306408
2015-02-02,-0.27660467654590487,0.009160531655172293
2015-02-03,-0.025797306874557054,0.00768235870551854
2015-02-04,-0.31332812194645304,0.006956244950542735
2015-02-05,-0.23285128004690245,0.007355210075249651
2015-02-06,-0.05800273597811217,0.007017730633441174
2015-02-09,-0.1292358803986711,0.007321838128102849
2015-02-10,-0.08820492052242584,0.00652500593623183
2015-02-11,0.005413328121946453,0.006611741925094777
2015-02-12,0.20955755796294423,0.005857577483390209
2015-02-13,0.0890600730447924,0.00864206293628384
2015-02-17,0.17444691658620545,0.009065582859126632
2015-02-18,0.1715293228663784,0.00928911515920328
2015-02-19,0.2484795373839749,0.009306361357260805
2015-02-20,0.004281936106796523,0.00957913082633843
2015-02-23,0.1673523361739641,0.007494962064205597
2015-02-24,0.23043937266681905,0.007237097931156382
2015-02-25,0.13473351400180666,0.0076967826438249795
2015-02-26,0.10511017346460384,0.0077116960467174395
2015-02-27,0.07791842475386779,0.012234306435630412
2015-03-02,-0.17137293086660174,0.010916477985027276
2015-03-03,-0.1402484763244257,0.01142233674914676
2015-03-04,-0.13069620253164557,0.010435498598422615
2015-03-05,-0.1624391431353457,0.008504602078312011
2015-03-06,-0.10004868549172348,0.008698660718628407
2015-03-09,-0.12368549172346639,0.007142306625650658
2015-03-10,-0.22312560856864655,0.009229057818918493
2015-03-11,-0.25719643694327243,0.011362307985605469
2015-03-12,-0.02779941577409932,0.009875645051568066
2015-03-13,0.20339896858884202,0.011667778763026227
2015-03-16,0.3431345980126468,0.009294314390907686
2015-03-17,0.29218608852755196,0.009240919956784582
2015-03-18,0.2249096657633243,0.006247613165413556
2015-03-19,0.20313911472448057,0.007158831226719935
2015-03-20,0.07917850262839979,0.006330610640041312
2015-03-23,0.07099400311272189,0.006212426430492642
2015-03-24,0.1898869189495108,0.009996232386213926
2015-03-25,-0.11454381210478772,0.0069933894067917965
2015-03-26,-0.07764227642276422,0.0067220194684714865
2015-03-27,-0.25872011251758087,0.007775897628509434
2015-03-30,-0.21322081575246135,0.007252098114821731
2015-03-31,-0.11298640412564463,0.007084715882565283
2015-04-01,-0.14988279418659167,0.007007285093122376
2015-04-02,0.02426160337552743,0.007008269619889398
2015-04-06,0.13240740740740742,0.006982407784675862
2015-04-07,0.07222222222222223,0.005032808520494017
2015-04-08,-0.003974706413730804,0.006319954671220883
2015-04-09,0.056279317813258456,0.012282908030869507
2015-04-10,0.05889792231255645,0.013210296349092251
2015-04-13,0.00966576332429991,0.012201177899763039
2015-04-14,0.1455227379278012,0.012256567721883936
2015-04-15,0.38073622402890694,0.010953972798665354
2015-04-16,0.3152601969057665,0.00564166114397181
2015-04-17,0.19878105954055322,0.007974686120800463
2015-04-20,0.06795593061415847,0.008033907462148049
2015-04-21,-0.0038166214995483286,0.008380113511221384
2015-04-22,-0.07733239568682607,0.008762703612811682
2015-04-23,-0.13030942334739803,0.010211828200283586
2015-04-24,-0.16315049226441633,0.008116549252327616
2015-04-27,-0.12901987353206865,0.0065536228454528495
2015-04-28,-0.015729020159399906,0.008334513186703618
2015-04-29,-0.15679793717768403,0.008477409372413893
2015-04-30,0.0027660571964369433,0.006622419231668314
2015-05-01,-0.10720415537488708,0.0062101713563788375
2015-05-04,-0.03616971401781528,0.007829708406657577
2015-05-05,0.10096108766994843,0.006053682995664224
2015-05-06,0.0567429406037001,0.005711999282078058
2015-05-07,-0.14525316455696205,0.006457343875185501
2015-05-08,-0.10761837787154242,0.006663960019767267
2015-05-11,-0.14465541490857947,0.0121951653142732
2015-05-12,0.07737927801218941,0.011509014403583808
2015-05-13,0.10872011251758089,0.008020261808615417
2015-05-14,0.14191820837390456,0.007029361633217095
2015-05-15,0.2469057665260197,0.006586844790971168
2015-05-18,0.18000468823253635,0.009098250572972935
2015-05-19,0.21882325363338023,0.00847736410773372
2015-05-20,0.13720112517580874,0.0099565345159913
2015-05-21,0.07475974358137157,0.012853003726116259
2015-05-22,-0.07310126582278482,0.013337102218710475
2015-05-26,-0.12139727361246348,0.0089617399157641
2015-05-27,0.025278518949405023,0.009447148448094859
2015-05-28,0.05126600284495021,0.005206762631969182
2015-05-29,0.24699857752489332,0.007646001971937389
2015-06-01,0.42977443609022553,0.009330939659956605
2015-06-02,0.22717703349282298,0.007559375276138313
2015-06-03,0.1343669985775249,0.006054727281314225
2015-06-04,0.02256045519203414,0.008316440685711171
2015-06-05,0.04314106945685893,0.007811242148854867
2015-06-08,-0.39651898734177216,0.008071109221163235
2015-06-09,-0.32546251217137295,0.012056859348764173
2015-06-10,-0.1872444011684518,0.016798149083698265
2015-06-11,-0.1908227848101266,0.014713098176143379
2015-06-12,-0.16699484294421005,0.015994310545310877
2015-06-15,-0.10002258355916893,0.018961901865969515
2015-06-16,-0.2405766526019691,0.017221056849209767
2015-06-17,-0.16699484294421005,0.014906731210289587
2015-06-18,-0.18181596884128529,0.007097814249745472
2015-06-19,-0.12897327707454292,0.0094057671329391
2015-06-22,0.1569854664791374,0.010622171326317393
2015-06-23,0.006645569620253165,0.00903865121994864
2015-06-24,-0.04806585819244047,0.0090405984961341
2015-06-25,-0.05378166137659808,0.00949582245740836
2015-06-26,-0.022386310360993908,0.008172782790336036
2015-06-29,-0.14723394280356306,0.007846094576933256
2015-06-30,0.007618377871542429,0.00780955652290159
2015-07-01,0.003727144866385373,0.00783308734315383
2015-07-02,0.08096342007596784,0.008019984766947206
2015-07-06,0.196319737458978,0.008358451522093878
2015-07-07,0.14053748870822041,0.008902776775894744
2015-07-08,0.22442569151429914,0.010597216857546207
2015-07-09,0.19741966893865628,0.01214872401680292
2015-07-10,0.2618305744888023,0.011310925289545378
2015-07-13,0.2757383966244726,0.009683829354155724
2015-07-14,0.2470698546647914,0.008843469253457446
2015-07-15,0.03585686465433301,0.011755639731322326
2015-07-16,0.034274586173320354,0.009463798678505523
2015-07-17,0.2227361246348588,0.011585596967509543
2015-07-20,-0.11666666666666668,0.0130934666817833
2015-07-21,0.014814814814814815,0.012146257355300233
2015-07-22,0.04920494988082411,0.010896004499158443
2015-07-23,0.09578694180516102,0.011840678527001084
2015-07-24,0.1144632731467877,0.011011754588076034
2015-07-27,0.08549154601599676,0.009025187250259135
2015-07-28,0.15112715671046556,0.008201655977349558
