,portfolio_value,returns
2015-01-08 21:00:00+00:00,1000000.0,0.0
2015-01-09 21:00:00+00:00,1000000.0,0.0
2015-01-12 21:00:00+00:00,999999.5999999996,-4.0000000034456917e-07
2015-01-13 21:00:00+00:00,1004011.3229999989,0.004011724604689126
2015-01-14 21:00:00+00:00,1009415.5899999983,0.005382675350564137
2015-01-15 21:00:00+00:00,1006575.9609999974,-0.002813141611970771
2015-01-16 21:00:00+00:00,990823.1289999969,-0.015649918744682356
2015-01-20 21:00:00+00:00,1009441.408999996,0.018790720013560636
2015-01-21 21:00:00+00:00,1023449.9709999961,0.013877538483266338
2015-01-22 21:00:00+00:00,1029987.2319999958,0.006387474898858381
2015-01-23 21:00:00+00:00,1030266.892999995,0.0002715188997597373
2015-01-26 21:00:00+00:00,1025595.240999995,-0.004534409512468085
2015-01-27 21:00:00+00:00,1014730.0289999949,-0.010594054618863202
2015-01-28 21:00:00+00:00,1023661.3789999943,0.008801700693534364
2015-01-29 21:00:00+00:00,1039197.1919999939,0.015176711086996697
2015-01-30 21:00:00+00:00,1018023.7369999934,-0.020374819296086533
2015-02-02 21:00:00+00:00,991767.8319999931,-0.02579105382883673
2015-02-03 21:00:00+00:00,957242.0869999923,-0.034812325915407394
2015-02-04 21:00:00+00:00,965992.4459999918,0.009141218422001662
2015-02-05 21:00:00+00:00,967657.7809999918,0.0017239627565368565
2015-02-06 21:00:00+00:00,955081.2949999919,-0.01299683239978
2015-02-09 21:00:00+00:00,937979.4819999915,-0.017906133320306106
2015-02-10 21:00:00+00:00,945859.5829999909,0.008401144322685239
2015-02-11 21:00:00+00:00,949641.3259999905,0.0039982076282454315
2015-02-12 21:00:00+00:00,939444.4879999898,-0.010737567669839132
2015-02-13 21:00:00+00:00,930796.8989999888,-0.009205002648332128
2015-02-17 21:00:00+00:00,933238.8199999883,0.002623473501709217
2015-02-18 21:00:00+00:00,934550.4279999875,0.0014054366062474788
2015-02-19 21:00:00+00:00,931973.2889999867,-0.0027576243322856575
2015-02-20 21:00:00+00:00,931553.7519999862,-0.0004501598972334042
2015-02-23 21:00:00+00:00,933314.4569999859,0.0018900734350750792
2015-02-24 21:00:00+00:00,935745.8409999849,0.0026051069730714804
2015-02-25 21:00:00+00:00,923345.9649999844,-0.01325132900056425
2015-02-26 21:00:00+00:00,931705.5109999836,0.009053536070847912
2015-02-27 21:00:00+00:00,922113.8649999835,-0.01029471854224151
2015-03-02 21:00:00+00:00,920769.712999983,-0.001457685488766014
2015-03-03 21:00:00+00:00,915552.9449999823,-0.005665659856473604
2015-03-04 21:00:00+00:00,918276.8699999817,0.002975169284174406
