split_date,return_1d,return_5d,return_10d,return_21d,return_42d,return_63d,return_1d_lag1,return_5d_lag1,return_10d_lag1,return_21d_lag1,return_1d_lag2,return_5d_lag2,return_10d_lag2,return_21d_lag2,return_1d_lag3,return_5d_lag3,return_10d_lag3,return_21d_lag3,return_1d_lag4,return_5d_lag4,return_10d_lag4,return_21d_lag4,return_1d_lag5,return_5d_lag5,return_10d_lag5,return_21d_lag5,rsi,bb_high,bb_low,atr,macd,month_8,month_9,month_10,month_11,consumer_discretionary,consumer_staples,energy,finance,health_care,industrials,technology,telecommunications,utilities,intercept,month_7,real_estate,month_6,month_5,month_4,month_3,month_2,year_2016,year_2017,month_12,year_2015,year_2014
2017-11-15,-0.001021231179105331,0.000356435447977126,0.00012588984775220076,-0.000562142812983272,-0.0005262690831125116,0.002233893879334443,-0.0008321915959258015,0.0001028848077303093,0.0005287959247851331,-0.0007048941747537294,-0.0005571461045097964,-0.00013549811524212407,-0.00010616780326079377,-0.0016495147802279666,-0.00033280032995335117,-0.00035611503297232523,0.00014802207813861267,-0.0002977828935467068,-0.00014655677680242628,4.414366956178363e-06,0.00015307690442750824,-0.0002192896450030848,-3.336805640587996e-05,0.0001870273746303343,-3.079929075372564e-05,0.00010907633185085811,0.00044064396100604883,-0.000722362855489143,0.0005765719863369138,7.438672502948223e-05,-0.000814924625866441,0.00026351849939007104,0.00013723339382438804,-0.00028635003822318595,-9.373880475878452e-05,3.3369018043294254e-05,-0.00011916311556985276,-7.509348930801402e-05,0.0002055989161803735,-0.0003201975200212842,0.0003635842862128676,0.00017914464024776938,-0.000384338519383828,-0.00016897981777196184,0.0012224759471261397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,-0.0006976326294081035,0.00163456053970782,0.00023417056789989016,-0.00044150400205325926,4.9414806000236264e-05,0.001669187068316387,-0.0007661127931221004,-0.00019837680653008688,0.0007424767105392822,-0.0007219016313824826,-0.0007505000734630771,-0.00042204488602400747,-0.00039372107979361516,-0.0011550779193489013,-0.0007544852779751164,-0.0005290437973437,0.0001734549125260243,-0.0002122242127594929,-0.0007809274921012505,0.0003125804663632975,8.486051559726128e-05,-1.278801291865335e-05,3.3672205420753096e-06,0.000353447181577368,-2.056310970788123e-06,0.00013634062144117322,0.0005230029633110219,0.0003350831112564484,-0.0003209886865005062,-7.238616505348299e-05,-0.000802626314156387,9.895957335743149e-05,0.00019121617757199475,-0.0002906824425413313,0.0,-8.441534931171634e-05,-0.0001102879044329854,-1.132200679999051e-06,9.210212361573308e-05,-0.0002592899874273862,0.00031235834404639467,0.00035421572519208874,-0.0004673646865647242,-0.0001220180912481562,0.0011593949717345687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-17,-0.00039175109556339105,0.001710387058503675,-0.0003863545493604577,-0.0001579497122711856,-0.0008730179618981219,0.002412405593780422,-0.0004892290680258657,0.0001032736554533886,0.0004406400408211255,-0.00021246846120751822,-0.0005434127109949502,-0.000388872703794167,-0.00019102663132239699,-0.0013525108896708525,-0.00057398216552853,-0.00038481243508252323,-5.0794574209859296e-05,-0.00013521544077782922,-0.0006998617723502408,8.396535703999769e-05,-8.148646828567158e-05,0.00021778738585175904,1.316605170656901e-05,0.00014593120344777812,-0.00013461795160340538,7.825941839824637e-06,0.0008593001660218312,0.0005830689785736501,-0.0006259282338841777,-0.00021730140231771634,-0.0010595721858496542,0.00022862355295374536,0.0002860935404406985,-0.00017918428063030386,0.0,-0.0001693374279535857,-0.0002184516931921629,1.5245299452134756e-05,0.00014797666292645767,-0.00016069885340295087,0.0003032599317629064,0.0002829935447747602,-0.0003420607201413683,6.869584006303223e-05,0.0009649864341102672,-0.0004960588946211057,7.377281588215251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-03,-0.0003789629459495252,0.0007556907969372379,-0.0003173968038965502,-0.00023670419049838507,-0.001203326768730016,0.002557847195625185,-0.0004015275784503803,8.20350666451383e-05,0.0005407326048401416,-0.00021181060959399504,-0.0003893895917397753,-0.00034990894291046326,-9.067422999208868e-06,-0.001444778096560629,-0.0003477830631903353,-0.0003848340970660863,5.516257223750721e-06,-8.087466133304079e-05,-0.00033339938811253024,5.36873090394977e-05,-3.052172500047652e-05,0.00021849663527200684,-3.601228401482404e-05,0.00011888928873649865,-5.941924864656768e-05,-0.0001684992141696266,0.0007271458310049431,0.0002916269039044455,-8.056015725356458e-05,-0.00025450301852070255,-0.0009923938657170404,0.00017389356711603157,0.0002589688109581185,-4.159959422896299e-06,0.0,-0.00021266778266126218,-0.00029752711578042134,4.421996061576559e-05,0.00012877022888245775,-9.689455384696761e-05,0.000347201526946665,0.00015434262767298154,-0.0001266021652632304,0.0,0.0009827424229263734,-0.0004420581939147625,7.281302061508772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19,-0.00033775278991326737,0.000820876054976326,-7.226237652500468e-05,-0.00015871924911167254,-0.0014202713166091476,0.0024274689759674483,-0.00036754877343119586,-1.5534289452678086e-06,0.00048336953091948187,-0.00017805257302808922,-0.0003925364234911728,-0.00024098836517030616,0.00020963369018171514,-0.0015079606781103997,-0.00037411633828902745,-0.00024302039702790693,0.00011957310489824985,1.0105239274186306e-05,-0.00041991194110487575,3.9205159023320955e-05,0.00011262610898386332,0.00011347733661327561,-4.2828575871861675e-05,2.736021986339431e-05,-3.6296512059545786e-05,-0.0003018266926331104,0.0010602475898046839,0.00044667237987277024,-0.00037393589023567423,-0.0001905340657874483,-0.0013063657037330448,0.00020618005407240487,0.0002346695233712763,0.0,0.0,-0.0002159896135992275,-0.00030232930917555614,0.00010890717414784809,8.261926226567149e-05,-9.168531892854757e-05,0.00033815139803163534,8.527804397658391e-05,3.5215659930545515e-06,0.0,0.0009008951205816765,-0.0003559145387110676,5.533563339667651e-05,-6.242630439514643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-05,0.0002992065266180657,0.00018192436169194704,-0.0004316235953792377,6.20497268351655e-05,-0.0016963103817932603,0.0023351108762838155,0.00017975337335862865,0.00023503571499483735,0.0007687160971114634,0.00019339864579688765,0.00011547066078104505,-0.0004077787673855388,0.0009290307062620642,-0.0013009347758027089,6.206524767584566e-05,-0.00037109245678961915,5.111938334808225e-05,1.8990573227916302e-05,-2.815201241062069e-05,-0.0004705543258723591,-4.762432514775642e-05,8.779673916152684e-05,-5.5995396193204e-05,-0.0006294199423459169,-3.942143652647279e-05,-0.0002675895682669678,0.0012035647835291106,0.0007182439016700059,-0.0007215415318024101,-0.00014562734655423792,-0.0014957966202270845,0.00031942647462323545,9.462481205818283e-05,0.0,0.0,-0.0002524869548474168,-0.00018214788475344948,4.881141876600304e-05,4.267433336262483e-05,4.127332106383372e-05,0.00025516265680598435,6.056833361783601e-05,-9.53430647125829e-10,0.0,0.0006280716906068477,-0.0002324408599520952,1.7371656794911135e-05,-0.00012284020625887598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21,0.00012866651798977707,0.0002640283856978293,5.2462868221986296e-05,1.23931631588239e-05,-0.0018056932411622366,0.002038863250193007,4.442267308829822e-05,0.00016623484946982873,0.001443571661755816,0.0001147025381700078,5.274405566939714e-06,-0.0007090987177658867,0.0008881854914925598,-0.0012750431283119802,-6.641773780937293e-05,-0.0006930313926280174,0.0001518303742420994,0.00016273175610905107,-0.00015309510647157443,-0.0003370538182698486,7.998192498698701e-05,0.00013681200957891567,-0.00010738970811678301,-0.0004759666806387917,9.563528106354116e-05,-0.00016460612162467371,0.0010503918584973404,0.0006382921972381384,-0.0006729512705703711,-3.878004934860081e-05,-0.0014631395107603984,0.000249843742153165,0.0,0.0,0.0,-0.000369929059256822,-0.00012390380795630898,-6.562891602553279e-05,6.513146662547029e-05,0.00022205018949113,0.00025819022927261727,3.241591857951302e-05,-1.2351363561959194e-06,0.0,0.000365260723786272,-0.00013663522497112983,1.278866191573215e-05,-8.121132218140603e-05,-1.975455135963435e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07,9.626332568516685e-05,0.00023585462978962575,0.00014942738089224485,4.283176523050375e-06,-0.0014611500554175382,0.00147191607886752,2.2864461477608775e-05,0.00014226603098091417,0.0012463254468810024,7.228172235768647e-05,-1.6259622001358793e-05,-0.0005539536289108417,0.0010148220127292385,-0.0009520217675733318,-7.1592373083746e-05,-0.0005770361475833731,0.00014811608627206236,0.000172127841752033,-0.00017849572841097366,-0.0006193324860812185,5.105218337855268e-06,0.00019240930616991957,-0.00010959315040222894,-0.0006481888339233573,1.4906541024726995e-05,-0.00013443115967738686,0.0010925320984857332,0.0005632677925499321,-0.0006729441429139441,0.0001631731364340377,-0.00136533557709221,2.330322168260148e-06,0.0,0.0,0.0,-0.0003737879185834867,-0.0001217605680798963,-0.00020418530080244137,7.030414079956982e-05,0.000241777492890287,0.00028758498368942523,6.233258668161048e-05,7.1707399497738304e-06,0.0,0.00034499073376942623,-0.00013601712717848643,8.649687851368616e-06,-8.131210596510068e-05,0.00023001707790841315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,0.0002555989637127143,-0.0003298377398538848,0.0003061330865112779,0.00042881733232247917,-0.0016010790498640533,0.0011839166887464639,0.0002077574207969805,6.21311876540421e-05,0.0017477946502738775,0.0005785659111206029,0.00016380185250294398,-0.0009312415629403575,0.000991154999552478,-0.0007918720638097374,0.00011241150620114883,-0.0010677373316495405,4.262544018748694e-05,0.00017946654540355072,5.438660903028978e-05,-0.0005767857454022461,-3.780392446534566e-05,0.0001593099758381388,-0.00010070101634785513,-0.0006642516034276143,-6.0988643944298105e-05,-0.00015207669542420155,0.0008271937321327163,0.00048474506910739046,-0.0005234125497733318,0.0002108217674587467,-0.0012335491083581933,0.0,0.0,0.0,0.0,-0.0003046576695525777,-0.00012285381433374846,-0.00026035370729417826,4.9953904170473696e-05,0.0002639241089003706,0.00023909378683885935,0.00010594791028436567,-9.127360706318811e-05,0.0,0.0005512078253875567,-0.00011959897058797314,-9.669595703600572e-06,-0.00016253579627094344,0.00022752132406756681,7.074452283098774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,6.499574988817546e-05,0.0004209052656596581,0.0005040578708811952,0.0003493795942429323,-0.00042400601651874096,6.099413472645511e-05,-6.689988359779631e-05,-0.00014476952507419283,0.0017909981460167384,0.000480503742955175,-0.00012954571786365,-0.0009110542658101747,0.0002578639040465174,-0.00016997468795751583,-0.00021921355568587647,-0.0010959270299311184,9.003306950432951e-05,0.00010667759165148346,-0.0003533978738322058,-2.7011050088447105e-05,-9.491108683455536e-05,0.00014201240259941006,-9.399371186623782e-05,-4.887817472827988e-05,7.334949526566112e-05,1.1537582243725726e-05,0.0009844859480652472,0.0008521900273961957,-0.0007584285672519633,5.254338737721276e-05,-0.0013558356732848123,0.0,0.0,0.0,0.0,-0.0002491761772593346,-0.00012559307197852117,-0.0003239688911209651,6.211682655526092e-05,0.00029505208142919164,0.00019367650706407204,0.0001886986086108206,-0.00024990459962105253,0.0,0.0007537150171972938,1.694264854208163e-05,-0.00015209266771102468,-0.00023319258950994597,0.0001076674339156284,0.00013358715457514246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
