split_date,return_1d,return_5d,return_10d,return_21d,return_42d,return_63d,return_1d_lag1,return_5d_lag1,return_10d_lag1,return_21d_lag1,return_1d_lag2,return_5d_lag2,return_10d_lag2,return_21d_lag2,return_1d_lag3,return_5d_lag3,return_10d_lag3,return_21d_lag3,return_1d_lag4,return_5d_lag4,return_10d_lag4,return_21d_lag4,return_1d_lag5,return_5d_lag5,return_10d_lag5,return_21d_lag5,rsi,bb_high,bb_low,atr,macd,month_9,month_10,month_11,month_12,consumer_discretionary,consumer_staples,energy,finance,health_care,industrials,real_estate,technology,telecommunications,utilities,intercept,month_8,month_7,month_6,month_5,month_4,month_3,month_2,year_2016,year_2017,year_2015,year_2014
2017-12-14,0.0003031388325825135,0.0004047256420924703,-0.0017584335845463317,-0.0006601214077521798,0.0007240811272805505,-0.0005849788863177635,0.0002959301166128519,0.001035841483215158,0.0012296906911543836,-0.0005713242543767429,0.000434600817569542,-0.0006609439376292839,0.0005199576227029741,-5.945590922147397e-05,0.00039210882451764606,-0.0005607792328219023,-0.00013530120133226366,-0.0003220311444467923,0.0005442351762928497,0.00010224593914353512,0.00039915573536850843,-3.316191244697233e-05,0.00019545198025077857,-0.00021520313380506048,0.0003650134584212666,0.0002936883147681222,-1.2765636554336725e-05,-0.00019582879864167476,-8.003894197751033e-05,-7.6045883201254e-05,-0.00012160076019731317,7.391549626102987e-05,-0.00017674316882289142,-0.00010201838717482615,0.0002963316878868926,0.00025881067046413527,-0.00015140789733130686,-0.00025983403784534737,0.00034963699495402885,-0.000388747127624787,0.00034906790326170946,0.0001395370878267093,-3.93277226116917e-05,-0.00013884482421678602,-0.000637689136517396,0.0012354976262134306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.00017834180881559967,0.0003817570101293631,-0.0016711277715003518,-0.0008600974886774005,0.0008653296740906186,6.167959685054133e-06,0.00016888540295313933,0.0009560087320005803,0.0013515094709195164,-0.0010951909946341008,0.00032461450691014557,-0.0006180705787103797,0.001075373925709531,-0.0005122049288056596,0.00035579184431900555,-0.0005225211199592752,0.00028923883811816063,-0.00036780491008215477,0.0005324595178868186,-0.00017680769724318129,0.0005276523194480962,-0.00014323000589986853,0.0001849954372842153,-0.0005287007859081154,0.0003273138287419455,0.00020780836888223354,0.00026304478127247275,-0.0002999162764078337,0.0002798021799729127,-0.00014166471579545747,-0.0006401759271823758,0.000288511061686854,-0.00017813046286610607,-4.95155222025762e-05,0.0,0.0013290498286647945,0.0004297033844297329,0.00040122153600592237,0.0011070598102392191,0.0007201553756457338,0.001216956601263331,0.00014548930729480828,0.0010530050683771105,0.0002945905666668617,-0.0004265082949883363,0.0012812958512729553,-0.0001540815606763562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-15,-0.0005206138232221416,0.00014843430853678634,-0.0005021128217761889,-0.00042822654254874614,0.0009026384392212573,0.0008524229045288289,-0.00044368872659408104,0.00032557622504902786,0.00013579489098657752,-0.0009297052915758978,-0.00021716495628053623,7.145825908960661e-05,0.0014261905517231187,-0.0005097424926635084,-4.254099208774963e-05,0.00012429742194220898,0.0001705799734190952,-0.0004484969816716689,0.0002389262222550508,-0.0006777140519894804,0.0001772477326943313,-2.973083545931779e-05,6.838593304362343e-05,-0.0009929099739063648,4.352012605700292e-05,0.00016105689555841722,2.0154373960789008e-08,-0.00039366725340571503,0.0006068173241681084,-0.0001906411551393188,-0.00077419083455374,0.00028889860048536456,-0.00019214312428428648,-0.00020818784935349927,0.0,0.0015123287239466852,0.000605333737737321,0.000752952695526729,0.0011764294646638104,0.0011190267220626698,0.0014304448480399893,5.6265344890404956e-05,0.0018307306887981186,0.00035385880403874165,-0.00023798249840929067,0.0012849540025874756,7.38218442053643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,-4.4572996248656744e-05,0.001107141039697368,-0.0003948478824781144,-0.0010066613583274698,0.0008546963472624619,0.0007196547484415659,-0.0001411952513601975,0.00036401713384657944,0.0013191282212062976,-0.0011318821214078491,-0.00013766595436429075,-0.0006678408152800509,0.0014080189079158849,-0.0003631184864391832,-0.00010801673218399853,-0.0005059199399960213,0.0004764245422026742,-0.00011060434918764157,-0.0001485636018855437,-0.0005610569414575923,9.085233684077183e-05,0.00026447164096266446,4.2587083340234796e-05,-0.0010564225904296442,2.57759830984096e-05,4.953795782617681e-05,0.0008989693611030345,0.0005252466204707232,-0.00046464532415184737,-0.0002154179108017056,-0.0011551917779984038,0.0004425002316978265,-4.787391012342655e-05,0.0,0.0,0.0016067125156682903,0.0006143462029722842,0.000996134925290789,0.0015142996564954305,0.0015006751119839986,0.001652666660850567,0.00035581770211894444,0.0020932389233721863,0.0006270099548501598,0.0003575490212674271,0.0009027506213517964,-0.0003872950545241303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-17,-0.0002755640869736752,0.0020572152518148696,-0.00033768463483478727,-0.0010708754539966417,-0.00022555970682942237,0.0021830246645234428,-0.00042795660455551666,0.00021682902273157482,0.0009691241731578336,-0.0014344024051434496,-0.0005736647661761409,-0.0007940975269964599,0.0028480432233228777,-0.001152568640089946,-0.0006213168274005783,-0.000320327348888345,0.00046424413469329146,-0.0003197208376600188,-0.0007822504240336841,-0.0015577242722661134,-0.0001635245535634895,0.0003783875325921339,-2.223784705807402e-06,-0.002023459961670421,-0.0003000034569184518,-0.0003460612402139163,0.0012520343283066375,0.0009441585435549667,-0.0008973105455903573,-0.00031978750731592487,-0.0015276975272975955,0.0003555042752191024,0.00024081708974164185,0.0,0.0,0.0019920027372271297,0.0007305774952138046,0.0011156521378733696,0.0016536690693647691,0.0018885373124771176,0.001951200316949787,0.0006440141237941168,0.002191042802292381,0.0010872599165652605,0.000496988308267158,0.0009367268009523987,-0.00043774478428902966,-0.00013610994564257483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-03,-0.0005340344862890303,0.0013400356182452792,-0.0005093251219615375,-0.0012917585301574282,-0.0011331342653410296,0.002243507676182453,-0.0005478497675476787,0.0005638736118581877,0.0009910036537388377,-0.0013909521094453714,-0.0005223202546249632,-0.00048582647855512914,-5.595608603966624e-05,-0.0015350023069434786,-0.00039405490377331705,3.666585109168854e-05,0.000890650826877672,-0.00040524901990930234,-0.0004014890953481977,0.0006453930292592428,0.00024412667290651686,0.00014907839595553984,-9.04482508012067e-05,0.00039573670975322575,5.9546536755571964e-05,-0.0004466447695253594,0.0013494816081882281,0.0002699632152547312,0.00015716528912092833,1.695483561212636e-05,-0.0015468539278789017,0.00039018735644494524,0.00021269825008654163,0.0,0.0,0.0016171384167679274,0.000578928272442076,0.0012028078504942373,0.001301275949276757,0.0016688700932911615,0.001817552041367579,0.000542755494085333,0.001968569936389922,0.001049349217922956,0.0007005662841540714,0.0009900897207939198,-0.0004789650638670495,4.5555090371063795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19,-0.0003302980939113012,0.0010080553651366148,-0.0004928201774052965,-0.000644265424520449,-0.0017973996195268164,0.0021837047737199755,-0.000348106884626764,0.0005722617384758925,0.0010863726989560427,-0.0013895046700996313,-0.00038813336686143357,-0.0005360452356646686,0.0001964991804100495,-0.001724424288578185,-0.0003934028171224417,-5.8591621345376526e-05,0.0011726847132391904,-6.572617974504207e-05,-0.0004381015661179054,0.0006583422348467748,0.00048125066527873246,0.0001511898812392315,-0.00026166254015391266,0.00034952123336201536,0.00010700212654422787,-0.0004175346523443636,0.0018198372820043148,0.00046367577988924003,-0.00017659514789716786,-5.652711088999335e-05,-0.0019115663368792037,0.00044056298129670576,0.0,0.0,0.0,0.001426407910166243,0.0005679375921881685,0.0011448594113040186,0.0012646499640551498,0.0015804903904754765,0.0016101527594561903,0.0004968980951718793,0.001662856671669217,0.0009501638640197114,0.0007732850284632501,0.0005576919011679767,-0.00024065307189196315,0.0003115553986945648,-0.0005695130736788087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-05,0.00020049772421996013,0.0005398182185989084,-0.0005713377241959864,-0.0004887337156066318,-0.002390314402572184,0.002347428201226142,1.9338216550513083e-05,0.0008574534401086049,0.001240847967556705,-0.0005934714912277424,-9.044953104140712e-05,-0.0005551494623419534,0.00015007369437146785,-0.0018026683760688721,-7.560099847333531e-05,-0.00018229268558241272,0.000794593270372626,5.6003581905837717e-05,-0.00021576300020946233,0.000775338608045512,0.00036908485435800594,0.0002879112105421819,-0.00033112431213157826,0.000281834566524515,4.944759532136529e-05,-0.00024321956992894071,0.0015440427156297879,0.0006951880633520554,-0.0005780463504574212,4.834658316542323e-05,-0.0017672491407785386,0.00014372659168976787,0.0,0.0,0.0,0.00010493761297764054,0.00016788370859865622,0.00035896443915804156,0.0003376264865712797,0.0007925635412705963,0.0006518568344459513,0.00043275629047712056,0.00045990335470841916,0.000290001396344554,0.0006021025509924062,0.00021165246355096018,-0.00010491887888995589,0.00043530209124323014,-0.0003725444822695117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21,0.0002655327647585083,0.0007953091676673011,-0.00044465434655735064,-0.0001799887326108036,-0.002128693678058927,0.002069450552781319,-5.45987753814067e-06,0.0005913971686515297,0.0009183049229823944,-0.00043191162895259383,-0.00013662472041822352,-0.00037682758392806274,7.74708979432838e-05,-0.00157820447592409,-0.00023625858741934807,-3.835023517533431e-05,0.0003580512243720162,0.00018529883660499614,-0.00041244764187367897,0.0006882959484306498,0.00039240497570856896,0.0002236804516583828,-0.0002974939362126995,0.00024966680023041487,-0.00010412622266864203,4.744725485813895e-05,0.0017632298583727618,0.0010054030067073532,-0.0010370029472138462,0.000160180397506226,-0.0018115705169654541,0.0,0.0,0.0,0.0,-0.0004180524632483351,-3.536380591848939e-05,-0.00019055006391052598,0.00010996864653058146,0.00031708119499106603,0.000411637849072726,0.0001840125032893749,4.751398786150355e-05,0.00013629255182501867,0.0005874229115653343,0.00011436726229570715,-0.000589709803878576,0.0004923528779419683,-0.0003307419284792907,0.0005511979314856656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07,0.00016329619448579393,0.0009637970934160566,-0.000975221839529822,0.0004751061726386817,-0.002230065989921513,0.0019284469143004202,-5.60780233286807e-05,0.0008055602604165526,0.0009200156598374725,-0.00029637523643944277,-0.0002708917553604004,-0.0005737068241874436,0.0005627170192399884,-0.001646474810287049,-0.00039097263688380216,-0.0004010181242314488,0.00041949129412597604,0.00028870959802882026,-0.0005292745128963596,6.607389487569547e-05,0.0004375138435116482,0.0001011907717819444,-0.00035064270787761283,-6.483395481167602e-05,9.551848025520663e-05,0.00010109718303597219,0.0017879300806316416,0.0009252475840991919,-0.0009242633165493267,0.00013621602436260952,-0.001709411567236376,0.0,0.0,0.0,0.0,-0.0004109283074008121,-0.00010072845463488589,-0.0002116620203747336,0.00012129196377955596,0.00023108033363949097,0.00021598168928574693,8.335502651736036e-05,7.126830582537155e-05,-4.7888958207972284e-05,0.0005746356770094167,0.0004117030462018066,-0.0006499852271676655,0.0003713020715851927,-0.00043759428980999715,0.0004401957199658639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
