,1d,5d,10d,21d
2018-01-04 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-05 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-08 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-09 21:00:00+00:00,-4.000000004555915e-07,-4.0000000023354687e-07,-4.000000004555915e-07,-4.0000000023354687e-07
2018-01-10 21:00:00+00:00,-0.0030512162204869853,-0.0010221844088745824,0.005431845172737537,-0.012629693051877777
2018-01-11 21:00:00+00:00,0.005125073751937048,0.009877830911844576,-0.007174295224423588,0.007228327411296975
2018-01-12 21:00:00+00:00,-0.011327948133101562,0.0026551587333496496,0.0035832246577758298,0.015302716664286287
2018-01-16 21:00:00+00:00,-0.012763700686508672,-0.007458897234636774,-0.005397379590290519,-0.00619245563490034
2018-01-17 21:00:00+00:00,-0.013851036263797245,-0.005444901076201991,-0.01194111486813687,-0.009365382756188256
2018-01-18 21:00:00+00:00,0.009179638788833211,-0.0035240634955298056,0.0012348404118320833,1.150416199835469e-05
2018-01-19 21:00:00+00:00,0.007884455186324413,0.00926072434413161,0.009797379087377767,0.008546628917434296
2018-01-22 21:00:00+00:00,0.0030679297130349337,0.004712908495784651,0.005629014797907228,-0.002161096885172853
2018-01-23 21:00:00+00:00,0.002741680069016983,0.014070667062387354,0.006708885867013681,0.002475932358768862
2018-01-24 21:00:00+00:00,0.00027857297745725873,0.005377705385178233,-0.0016678964387900619,-0.012915781941852167
2018-01-25 21:00:00+00:00,-0.006449488219954724,-0.0018469448837387104,0.004320709320160709,0.005721427407742841
2018-01-26 21:00:00+00:00,0.0013919000640671975,-0.018842385722781074,-0.0030733118369806744,-0.013338540292160861
2018-01-29 21:00:00+00:00,0.013606235359930219,0.00668576685534239,0.009058619706104887,0.0010639752012402415
2018-01-30 21:00:00+00:00,-0.007317837617308642,-0.008207829614978013,-0.018739827215917715,-0.008031109874071962
2018-01-31 21:00:00+00:00,0.007871388409337987,0.004391035824191647,0.01606631527559399,0.019008290179559184
2018-02-01 21:00:00+00:00,0.010704004833386405,0.0042690000510055,-0.0016991373542121213,0.003864610211714359
2018-02-02 21:00:00+00:00,-0.004393495924995383,-0.01662496489976306,-0.016039776168239706,-0.01170088489037846
2018-02-05 21:00:00+00:00,-0.0035553516992132828,-0.009738572502260845,-0.030719366268577075,-0.017844310157150156
2018-02-06 21:00:00+00:00,-2.789932635705039e-05,-0.016918072629428016,0.0012202001290932962,-0.004369915996697671
2018-02-07 21:00:00+00:00,0.012336168667582692,-0.017474854906101123,-0.008949669792655546,-0.024392180961099075
2018-02-08 21:00:00+00:00,0.002721180582997862,0.008929260047668919,0.0031040579262884282,-0.005675549199138041
2018-02-09 21:00:00+00:00,0.0016706616828152665,-0.010143500994913901,-0.0009756313220629087,-0.01095730916467974
2018-02-12 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-02-13 21:00:00+00:00,-0.010562889340399617,-0.009457249305519055,-0.0051338336714186195,-0.016390904360529257
2018-02-14 21:00:00+00:00,0.0024370075374173794,-0.012668545852350777,0.004555443688635918,0.006133190389398191
2018-02-15 21:00:00+00:00,0.020359600790466947,0.027680293095939668,0.020137003807294773,0.011947486252623207
