,1d,5d,10d,21d
2018-01-04,0.0,0.0,0.0,0.0
2018-01-05,-0.0025528623999997446,-0.0011738339999998182,-0.002237005000000125,-0.013315343999999896
2018-01-09,0.012687279879765478,0.005339467047964286,0.007785331224878123,0.007674238525911203
2018-01-10,-0.003563786724583351,0.00302784648011456,0.00030532845566910716,-0.01120907517609393
2018-01-11,0.0036070113451094343,0.0004441460348028059,0.007842704260340172,-0.007211145748638348
2018-01-12,-0.013693082429718562,0.004469438137931103,0.013156102254364033,0.01034013855001481
2018-01-15,-0.003025415590444558,-0.007179205749436091,-0.0027741551468637438,-0.005277714015933022
2018-01-16,-0.012318565028679895,-0.01371507806566663,-0.01020955278546587,-0.0059034756446207926
2018-01-17,0.005997613265656732,-0.010588185313639142,-0.006079168427044923,-0.011451668390939584
2018-01-18,0.010458747372112942,7.292473560149837e-05,-0.004018107854588893,-0.0018224834489649622
2018-01-19,0.005146563199991849,0.011810682383583071,0.021797129653066127,0.015193316278602209
2018-01-22,-0.009824760953671463,0.005670655462527874,-0.0006301963458654747,0.0017860539566807443
2018-01-23,0.005813159008910773,0.0057451820656881925,0.007744142316570057,0.012294812636955532
2018-01-24,-0.0017975401001192326,-0.012039651062040635,-0.009767422784529689,-0.022243772434530684
2018-01-25,0.0029506393818998777,0.0007624748013141947,0.0036135249522026847,-0.002782096437973891
2018-01-26,-0.005459823841483247,-0.003203098023896178,-0.007512514843367235,0.00168803960879238
2018-01-29,-0.008439833204434977,0.023286139758734725,0.02278790077377102,0.01249973379889635
2018-01-30,-0.004177023595151597,-0.018861900250389474,-0.0001335501403924022,-0.009018696468861775
2018-01-31,-0.0023693314515480512,0.006322437204172138,0.027804949568839277,0.014887337678507251
2018-02-01,-0.003661847041082966,-0.0063190268190156385,-0.0040013612628044815,0.01418043063684471
2018-02-02,-0.001762512604662203,-0.012504212699424033,0.004622931434585809,0.006423919124408206
2018-02-05,-0.011865303630624657,-0.016346282788153643,0.0013862854024040416,0.0011564392206122598
2018-02-06,-0.0003259365898145017,-0.016953786799531967,-0.011096107236446495,0.014760475784581173
2018-02-07,-0.02939960255223184,-0.03461275863055557,-0.024136890399188093,-0.04468721012212251
2018-02-08,0.013292828655298239,0.010491815627220236,-0.004143222831667459,0.0015152317854392194
